Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-12-17 20:54:28,"Back",5m,"Lat Pulldown (Cable)",4,35.0,6,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bent Over Row (Dumbbell)",1,12.0,12,0,0,"","",
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bent Over Row (Dumbbell)",2,12.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bent Over Row (Dumbbell)",3,12.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bent Over Row (Dumbbell)",4,12.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Triceps Pushdown (Cable - Straight Bar)",1,0.0,12,0,0,"",,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Triceps Pushdown (Cable - Straight Bar)",2,0.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Triceps Pushdown (Cable - Straight Bar)",3,0.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Triceps Pushdown (Cable - Straight Bar)",4,0.0,8,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bicep Curl (Dumbbell)",1,12.0,12,0,0,"",,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bicep Curl (Dumbbell)",2,12.0,12,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bicep Curl (Dumbbell)",3,12.0,12,0,0,,,
2022-12-19 20:25:55,"Simple Pull Day",21m,"Bicep Curl (Dumbbell)",4,12.0,12,0,0,,,
2022-12-19 20:47:22,"Arms ",4m,"Front Raise (Dumbbell)",1,12.0,8,0,0,"","",
2022-12-19 20:47:22,"Arms ",4m,"Front Raise (Dumbbell)",2,12.0,6,0,0,,,
2022-12-19 20:47:22,"Arms ",4m,"Seated Palms Up Wrist Curl (Dumbbell)",1,4.0,12,0,0,"",,
2022-12-19 20:47:22,"Arms ",4m,"Seated Palms Up Wrist Curl (Dumbbell)",2,4.0,12,0,0,,,
2022-12-19 20:47:22,"Arms ",4m,"Seated Palms Up Wrist Curl (Dumbbell)",3,4.0,12,0,0,,,
2022-12-19 20:47:22,"Arms ",4m,"Seated Palms Up Wrist Curl (Dumbbell)",4,4.0,12,0,0,,,
2022-12-19 20:51:56,"Delts",21s,"Lateral Raise (Dumbbell)",1,8.0,8,0,0,"","",
2022-12-19 20:51:56,"Delts",21s,"Lateral Raise (Dumbbell)",2,8.0,8,0,0,,,
2022-12-19 20:55:09,"Legs",6m,"Leg Extension (Machine)",1,21.0,12,0,0,"","",
2022-12-19 20:55:09,"Legs",6m,"Leg Extension (Machine)",2,28.0,8,0,0,,,
2022-12-19 20:55:09,"Legs",6m,"Leg Extension (Machine)",3,28.0,8,0,0,,,
2022-12-19 20:55:09,"Legs",6m,"Leg Extension (Machine)",4,28.0,6,0,0,,,
2022-12-19 20:55:09,"Legs",6m,"Standing Calf Raise (Dumbbell)",1,4.0,12,0,0,"",,
2022-12-19 20:55:09,"Legs",6m,"Standing Calf Raise (Dumbbell)",2,4.0,12,0,0,,,
2022-12-19 21:02:10,"Back",10m,"Lat Pulldown (Cable)",1,28.0,12,0,0,"","",
2022-12-19 21:02:10,"Back",10m,"Lat Pulldown (Cable)",2,28.0,12,0,0,,,
2022-12-19 21:02:10,"Back",10m,"Lat Pulldown (Cable)",3,28.0,12,0,0,,,
2022-12-19 21:02:10,"Back",10m,"Lat Pulldown (Cable)",4,28.0,8,0,0,,,
2022-12-19 21:16:20,"Back",7m,"Seated Wide-Grip Row (Cable)",1,21.0,8,0,0,"","",
2022-12-19 21:16:20,"Back",7m,"Seated Wide-Grip Row (Cable)",2,21.0,16,0,0,,,
2022-12-19 21:16:20,"Back",7m,"Seated Wide-Grip Row (Cable)",3,28.0,8,0,0,,,
2022-12-19 21:16:20,"Back",7m,"Seated Wide-Grip Row (Cable)",4,0.0,0,0,0,,,
2022-12-21 21:07:51,"Chest",7m,"1 Arm Heavy Crossover",1,28.0,12,0,0,"","",
2022-12-21 21:07:51,"Chest",7m,"1 Arm Heavy Crossover",2,28.0,8,0,0,,,
2022-12-21 21:07:51,"Chest",7m,"1 Arm Heavy Crossover",3,28.0,14,0,0,,,
2022-12-21 21:07:51,"Chest",7m,"1 Arm Heavy Crossover",4,28.0,13,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Bicep Curl (Dumbbell)",1,16.0,8,0,0,"","",
2022-12-21 21:15:45,"Arms ",23m,"Bicep Curl (Dumbbell)",2,8.0,8,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Bicep Curl (Dumbbell)",3,8.0,8,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Bicep Curl (Dumbbell)",4,16.0,8,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Triceps Pushdown (Cable - Straight Bar)",1,35.0,8,0,0,"",,
2022-12-21 21:15:45,"Arms ",23m,"Triceps Pushdown (Cable - Straight Bar)",2,42.0,5,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Triceps Pushdown (Cable - Straight Bar)",3,35.0,8,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Triceps Pushdown (Cable - Straight Bar)",4,35.0,6,0,0,,,
2022-12-21 21:15:45,"Arms ",23m,"Seated Palms Up Wrist Curl (Dumbbell)",1,4.0,16,0,0,"",,
2022-12-21 21:15:45,"Arms ",23m,"Seated Palms Up Wrist Curl (Dumbbell)",2,4.0,16,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Overhead Press (Dumbbell)",1,12.0,4,0,0,"","",
2022-12-21 21:39:04,"Simple Push Day",12m,"Overhead Press (Dumbbell)",2,12.0,6,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Overhead Press (Dumbbell)",3,12.0,4,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Overhead Press (Dumbbell)",4,12.0,4,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Lateral Raise (Dumbbell)",1,8.0,16,0,0,"",,
2022-12-21 21:39:04,"Simple Push Day",12m,"Lateral Raise (Dumbbell)",2,8.0,16,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Lateral Raise (Dumbbell)",3,8.0,11,0,0,,,
2022-12-21 21:39:04,"Simple Push Day",12m,"Lateral Raise (Dumbbell)",4,8.0,6,0,0,,,
2022-12-21 21:52:06,"Neck",2m,"Neck Warmup",1,0,0,0,10,"","",
2022-12-21 21:52:06,"Neck",2m,"Neck Curl",1,3.5,20,0,0,"",,
2022-12-21 21:52:06,"Neck",2m,"Neck Curl",2,3.5,13,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Lateral Raise (Cable)",1,14.0,7,0,0,"","",
2022-12-22 21:02:40,"Delts",26m,"Lateral Raise (Cable)",2,7.0,10,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Lateral Raise (Cable)",3,7.0,10,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Lateral Raise (Cable)",4,7.0,12,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Upright Row (Cable)",1,42.0,8,0,0,"",,
2022-12-22 21:02:40,"Delts",26m,"Upright Row (Cable)",2,42.0,12,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Triceps Extension (Cable)",1,21.0,7,0,0,"",,
2022-12-22 21:02:40,"Delts",26m,"Triceps Extension (Cable)",2,21.0,4,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Triceps Extension (Cable)",3,14.0,4,0,0,,,
2022-12-22 21:02:40,"Delts",26m,"Triceps Extension (Cable)",4,7.0,12,0,0,,,
2022-12-22 21:29:34,"Chest",19m,"1 Arm Heavy Crossover",1,28.0,8,0,0,"","",
2022-12-22 21:29:34,"Chest",19m,"1 Arm Heavy Crossover",2,28.0,12,0,0,,,
2022-12-22 21:29:34,"Chest",19m,"1 Arm Heavy Crossover",3,28.0,8,0,0,,,
2022-12-22 21:29:34,"Chest",19m,"1 Arm Heavy Crossover",4,28.0,12,0,0,,,
2022-12-22 21:50:57,"Back",10m,"Lat Pulldown (Cable)",1,28.0,12,0,0,"","",
2022-12-22 21:50:57,"Back",10m,"Lat Pulldown (Cable)",2,35.0,8,0,0,,,
2022-12-22 21:50:57,"Back",10m,"Lat Pulldown (Cable)",3,35.0,8,0,0,,,
2022-12-22 21:50:57,"Back",10m,"Lat Pulldown (Cable)",4,35.0,8,0,0,,,
2022-12-22 21:50:57,"Back",10m,"Leg Extension (Machine)",1,28.0,8,0,0,"",,
2022-12-22 21:50:57,"Back",10m,"Leg Extension (Machine)",2,35.0,8,0,0,,,
2022-12-22 21:50:57,"Back",10m,"Lying Leg Curl (Machine)",1,14.0,8,0,0,"",,
2022-12-22 21:50:57,"Back",10m,"Lying Leg Curl (Machine)",2,14.0,8,0,0,,,
2022-12-23 19:38:28,"Simple Push Day",41m,"Incline Bench Press (Dumbbell)",1,12.0,8,0,0,"","",
2022-12-23 19:38:28,"Simple Push Day",41m,"Incline Bench Press (Dumbbell)",2,16.0,10,0,0,,,
2022-12-23 19:38:28,"Simple Push Day",41m,"Incline Bench Press (Dumbbell)",3,16.0,10,0,0,,,
2022-12-23 19:38:28,"Simple Push Day",41m,"Incline Bench Press (Dumbbell)",4,16.0,10,0,0,,,
