Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-04-20 13:38:44,"Pull",16m,"Hammer Curl (Dumbbell)",2,8.0,12,0,0,,,
2023-04-20 13:38:44,"Pull",16m,"Hammer Curl (Dumbbell)",3,8.0,10,0,0,,,
2023-04-20 13:38:44,"Pull",16m,"Hammer Curl (Dumbbell)",4,8.0,10,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Squat (Barbell)",1,70.0,8,0,0,"","",
2023-04-21 15:54:33,"Legs",1h 29m,"Squat (Barbell)",2,70.0,9,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Squat (Barbell)",3,70.0,8,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Squat (Barbell)",4,70.0,10,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Leg Extension (Machine)",1,64.0,12,0,0,"",,
2023-04-21 15:54:33,"Legs",1h 29m,"Leg Extension (Machine)",2,64.0,10,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Leg Extension (Machine)",3,55.0,10,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Calf Press on Seated Leg Press",1,35.0,13,0,0,"",,
2023-04-21 15:54:33,"Legs",1h 29m,"Calf Press on Seated Leg Press",2,35.0,15,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Calf Press on Seated Leg Press",3,35.0,15,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Calf Press on Seated Leg Press",4,35.0,15,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Seated Leg Press (Machine)",1,118.0,12,0,0,"",,
2023-04-21 15:54:33,"Legs",1h 29m,"Seated Leg Press (Machine)",2,127.0,12,0,0,,,
2023-04-21 15:54:33,"Legs",1h 29m,"Seated Leg Press (Machine)",3,136.0,12,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Squat (Barbell)",1,70.0,10,0,0,"","",
2023-04-25 13:51:35,"Legs",1h 21m,"Squat (Barbell)",2,75.0,8,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Squat (Barbell)",3,75.0,8,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Squat (Barbell)",4,75.0,10,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Leg Extension (Machine)",1,64.0,10,0,0,"",,
2023-04-25 13:51:35,"Legs",1h 21m,"Leg Extension (Machine)",2,64.0,12,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Leg Extension (Machine)",3,64.0,12,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Leg Extension (Machine)",4,64.0,12,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Calf Press on Seated Leg Press",1,40.0,15,0,0,"",,
2023-04-25 13:51:35,"Legs",1h 21m,"Calf Press on Seated Leg Press",2,40.0,13,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Calf Press on Seated Leg Press",3,40.0,15,0,0,,,
2023-04-25 13:51:35,"Legs",1h 21m,"Calf Press on Seated Leg Press",4,40.0,15,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Seated Overhead Press (Dumbbell)",1,15.0,10,0,0,"","",
2023-04-27 14:15:14,"Push",1h 23m,"Seated Overhead Press (Dumbbell)",2,15.0,10,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Seated Overhead Press (Dumbbell)",3,15.0,10,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Seated Overhead Press (Dumbbell)",4,15.0,9,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Triceps Dip",1,0,8,0,0,"",,
2023-04-27 14:15:14,"Push",1h 23m,"Triceps Dip",2,0,8,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Triceps Dip",3,0,8,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Bench Press (Dumbbell)",1,20.0,12,0,0,"",,
2023-04-27 14:15:14,"Push",1h 23m,"Bench Press (Dumbbell)",2,20.0,12,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Bench Press (Dumbbell)",3,20.0,12,0,0,,,
2023-04-27 14:15:14,"Push",1h 23m,"Bench Press (Dumbbell)",4,20.0,14,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Lat Pulldown (Cable)",1,41.0,8,0,0,"","",
2023-04-28 14:24:24,"Pull",52m,"Lat Pulldown (Cable)",2,45.0,8,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Lat Pulldown (Cable)",3,41.0,10,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Lat Pulldown (Cable)",4,41.0,10,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Tricep Rope",1,27.0,10,0,0,"",,
2023-04-28 14:24:24,"Pull",52m,"Tricep Rope",2,32.0,10,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Tricep Rope",3,32.0,10,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Tricep Rope",4,32.0,10,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Hammer Curl (Dumbbell)",1,10.0,7,0,0,"",,
2023-04-28 14:24:24,"Pull",52m,"Hammer Curl (Dumbbell)",2,10.0,7,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Hammer Curl (Dumbbell)",3,10.0,8,0,0,,,
2023-04-28 14:24:24,"Pull",52m,"Hammer Curl (Dumbbell)",4,8.0,10,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Squat (Barbell)",1,75.0,8,0,0,"","",
2023-04-29 13:36:06,"Legs",2h 53m,"Squat (Barbell)",2,75.0,10,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Squat (Barbell)",3,75.0,6,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Squat (Barbell)",4,75.0,8,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Leg Extension (Machine)",1,64.0,12,0,0,"",,
2023-04-29 13:36:06,"Legs",2h 53m,"Leg Extension (Machine)",2,64.0,12,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Leg Extension (Machine)",3,64.0,12,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Leg Extension (Machine)",4,64.0,12,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Calf Press on Seated Leg Press",1,40.0,20,0,0,"",,
2023-04-29 13:36:06,"Legs",2h 53m,"Calf Press on Seated Leg Press",2,40.0,20,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Calf Press on Seated Leg Press",3,40.0,20,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Calf Press on Seated Leg Press",4,40.0,15,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Seated Leg Press (Machine)",1,136.0,12,0,0,"",,
2023-04-29 13:36:06,"Legs",2h 53m,"Seated Leg Press (Machine)",2,136.0,12,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Seated Leg Press (Machine)",3,136.0,12,0,0,,,
2023-04-29 13:36:06,"Legs",2h 53m,"Seated Leg Press (Machine)",4,136.0,12,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Seated Overhead Press (Dumbbell)",1,15.0,10,0,0,"","",
2023-05-01 16:14:14,"Push",1h 26m,"Seated Overhead Press (Dumbbell)",2,15.0,10,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Seated Overhead Press (Dumbbell)",3,15.0,10,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Seated Overhead Press (Dumbbell)",4,15.0,10,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Triceps Dip",1,0,10,0,0,"",,
