Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
19/12/2022 20:25,Simple Pull Day,21m,Triceps Pushdown (Cable - Straight Bar),4,0,8,0,0,,,
19/12/2022 20:25,Simple Pull Day,21m,Bicep Curl (Dumbbell),1,12,12,0,0,,,
19/12/2022 20:25,Simple Pull Day,21m,Bicep Curl (Dumbbell),2,12,12,0,0,,,
19/12/2022 20:25,Simple Pull Day,21m,Bicep Curl (Dumbbell),3,12,12,0,0,,,
19/12/2022 20:25,Simple Pull Day,21m,Bicep Curl (Dumbbell),4,12,12,0,0,,,
19/12/2022 20:47,Arms ,4m,Front Raise (Dumbbell),1,12,8,0,0,,,
19/12/2022 20:47,Arms ,4m,Front Raise (Dumbbell),2,12,6,0,0,,,
19/12/2022 20:47,Arms ,4m,Seated Palms Up Wrist Curl (Dumbbell),1,4,12,0,0,,,
19/12/2022 20:47,Arms ,4m,Seated Palms Up Wrist Curl (Dumbbell),2,4,12,0,0,,,
19/12/2022 20:47,Arms ,4m,Seated Palms Up Wrist Curl (Dumbbell),3,4,12,0,0,,,
19/12/2022 20:47,Arms ,4m,Seated Palms Up Wrist Curl (Dumbbell),4,4,12,0,0,,,
19/12/2022 20:51,Delts,21s,Lateral Raise (Dumbbell),1,8,8,0,0,,,
19/12/2022 20:51,Delts,21s,Lateral Raise (Dumbbell),2,8,8,0,0,,,
19/12/2022 20:55,Legs,6m,Leg Extension (Machine),1,21,12,0,0,,,
19/12/2022 20:55,Legs,6m,Leg Extension (Machine),2,28,8,0,0,,,
19/12/2022 20:55,Legs,6m,Leg Extension (Machine),3,28,8,0,0,,,
19/12/2022 20:55,Legs,6m,Leg Extension (Machine),4,28,6,0,0,,,
19/12/2022 20:55,Legs,6m,Standing Calf Raise (Dumbbell),1,4,12,0,0,,,
19/12/2022 20:55,Legs,6m,Standing Calf Raise (Dumbbell),2,4,12,0,0,,,
19/12/2022 21:02,Back,10m,Lat Pulldown (Cable),1,28,12,0,0,,,
19/12/2022 21:02,Back,10m,Lat Pulldown (Cable),2,28,12,0,0,,,
19/12/2022 21:02,Back,10m,Lat Pulldown (Cable),3,28,12,0,0,,,
19/12/2022 21:02,Back,10m,Lat Pulldown (Cable),4,28,8,0,0,,,
19/12/2022 21:16,Back,7m,Seated Wide-Grip Row (Cable),1,21,8,0,0,,,
19/12/2022 21:16,Back,7m,Seated Wide-Grip Row (Cable),2,21,16,0,0,,,
19/12/2022 21:16,Back,7m,Seated Wide-Grip Row (Cable),3,28,8,0,0,,,
19/12/2022 21:16,Back,7m,Seated Wide-Grip Row (Cable),4,0,0,0,0,,,
21/12/2022 21:07,Chest,7m,1 Arm Heavy Crossover,1,28,12,0,0,,,
21/12/2022 21:07,Chest,7m,1 Arm Heavy Crossover,2,28,8,0,0,,,
21/12/2022 21:07,Chest,7m,1 Arm Heavy Crossover,3,28,14,0,0,,,
21/12/2022 21:07,Chest,7m,1 Arm Heavy Crossover,4,28,13,0,0,,,
21/12/2022 21:15,Arms ,23m,Bicep Curl (Dumbbell),1,16,8,0,0,,,
